Cluster,Genre,NaturalKey
5,adult contemporary,don_t_stop_believin__journey_1650998943
5,adult contemporary,don_t_stop_believin__journey_1655981392
5,adult contemporary,alone_heart_1528633686
5,adult contemporary,bette_davis_eyes_kim_carnes_1715792581
5,adult contemporary,the_living_years_mike___the_mechanics_1605118195
5,adult contemporary,high_lighthouse_family_1554045609
5,adult contemporary,everytime_britney_spears_1711430824
5,adult contemporary,never_be_the_same_again_melanie_c_1622908053
5,adult contemporary,the_real_thing_lisa_stansfield_1570895210
5,adult contemporary,wonderland_paul_young_1477230734
5,adult contemporary,same_love___feat__mary_lambert_macklemore___ryan_lewis_1386516372
5,adult contemporary,slip_slidin__away___live_at_central_park__new_york__ny___september_19__1981_simon___garfunkel_1616167159
5,adult contemporary,solitaire_laura_branigan_1477233568
5,adult contemporary,for_you_only_alison_moyet_1477234002
5,adult contemporary,the_look_roxette_1516819133
5,adult contemporary,together_again_janet_jackson_1622907128
5,adult contemporary,the_first_time_ever_i_saw_your_face_roberta_flack_1643131362
5,adult contemporary,sunrise_simply_red_1613716041
5,adult contemporary,heaven_is_a_place_on_earth_belinda_carlisle_1680976450
5,adult contemporary,heaven_is_a_place_on_earth_belinda_carlisle_1727013098
5,adult contemporary,every_kinda_people_robert_palmer_1643130912
5,adult contemporary,every_kinda_people_robert_palmer_1699337123
5,adult contemporary,every_kinda_people_robert_palmer_1629386491
5,adult contemporary,sweet_caroline_neil_diamond_1664024707
5,adult contemporary,september_morn_neil_diamond_1599929308
5,adult contemporary,another_day_in_paradise__demo__phil_collins_1480015148
5,adult contemporary,when_we_were_young_adele_1620236299
5,adult contemporary,when_we_were_young_adele_1459616791
5,adult contemporary,club_tropicana_wham__1589217448
5,adult contemporary,fantasy_george_michael_1516907800
5,adult contemporary,a_different_corner_george_michael_1699119150
5,adult contemporary,all_night_long__all_night____single_version_lionel_richie_1589217715
5,adult contemporary,stuck_on_you_lionel_richie_1650995462
5,adult contemporary,never_as_good_as_the_first_time_sade_1699338569
5,adult contemporary,within_daft_punk_1624381324
5,adult contemporary,within_daft_punk_1614093456
5,adult contemporary,within_daft_punk_1616165923
5,pop,love____thy_will_be_done_prince_1643129165
5,pop,love____thy_will_be_done_prince_1643129799
5,pop,love____thy_will_be_done_prince_1671037750
5,pop,love____thy_will_be_done_prince_1643370123
5,pop,love____thy_will_be_done_prince_1670167532
5,pop,tout_l__haut_zaz_1697565238
5,pop,les_sunlights_des_tropiques_gilbert_montagn__1518956382
5,pop,les_sunlights_des_tropiques_gilbert_montagn__1707835262
5,pop,les_sunlights_des_tropiques_gilbert_montagn__1705159575
5,pop,shivers_ed_sheeran_1648652510
5,pop,wonderful_life_katie_melua_1579864914
5,pop,wonderful_life_katie_melua_1579864914
5,pop,as_you_are_rag_n_bone_man_1528632261
5,pop,all_or_nothing_topic_1674542126
5,pop,beautiful_things_benson_boone_1713895634
5,pop,hello_martin_solveig_1383302338
5,pop,salt_ava_max_1588958007
5,pop,sixteen_ellie_goulding_1555520586
5,pop,struggle_for_pleasure_minimalistix_1549637420
5,pop,tusa_karol_g_1588956811
5,pop,numb_elderbrook_1608032181
5,pop,torn_ava_max_1580931447
5,pop,forever_yours___avicii_tribute_kygo_1588956465
5,pop,mother_s_daughter_miley_cyrus_1560089955
5,pop,say_my_name_david_guetta_1618331315
5,pop,hot_in_it_ti_sto_1674541577
5,pop,kvraagetaan_fixkes_1391023010
5,pop,liar_camila_cabello_1580930098
5,pop,plus_pr_s_des__toiles_gold_1523638611
5,pop,be_sensational_jeanne_added_1603967027
5,pop,i_don_t_wanna_live_forever__fifty_shades_darker__zayn_1607866592
5,pop,la_f_lure_garou_1549632075
5,pop,like_it_is_kygo_1585847457
5,pop,numb_elderbrook_1610278051
5,pop,sound_of_your_heart_shawn_hook_1465031374
5,pop,swalla__feat__nicki_minaj___ty_dolla__ign__jason_derulo_1488126061
5,pop,all_or_nothing_topic_1674542277
5,pop,remember_roses_lola_marsh_1663172944
5,pop,if_i_m_lucky_jason_derulo_1504291501
5,pop,know_no_better__feat__travis_scott__camila_cabello___quavo____slander_remix_major_lazer_1504283826
5,pop,like_it_is_kygo_1588957228
5,pop,rennen_sohn_1484384595
5,pop,sound_of_your_heart_shawn_hook_1465033380
5,pop,vlammen_eefje_de_visser_1726378479
5,pop,all_around_the_world__la_la_la__r3hab_1562399460
5,pop,belong_together_mark_ambor_1713895486
5,pop,circles_post_malone_1588957013
5,pop,torn_ava_max_1580931331
